Date : 2023-04-14 12:25:57
Directory : /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet
Total : 113 files,  11491 codes, 109 comments, 920 blanks, all 12520 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/getTouchMidpoint.ts                  | TypeScript         |          5 |          1 |          1 |          7 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/index.ts                             | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/parser.ts                            | TypeScript         |        110 |          4 |         14 |        128 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/roundNum.ts                          | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/sortKey.ts                           | TypeScript         |          6 |          2 |          4 |         12 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/throttle.ts                          | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/writables.ts                         | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/index.ts                                     | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/movers/index.ts                              | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/movers/moveNodes.ts                          | TypeScript         |         80 |          1 |         14 |         95 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/movers/translateGraph.ts                     | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/movers/zoomGraph.ts                          | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/savers/reloadStore.ts                        | TypeScript         |         32 |          0 |          5 |         37 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/savers/saveStore.ts                          | TypeScript         |         41 |         10 |          8 |         59 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/routes/+page.svelte                                    | Svelte             |         77 |          0 |          7 |         84 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/routes/tests/+page.svelte                              | Svelte             |         83 |          0 |          9 |         92 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomAnchor.svelte                    | Svelte             |         16 |          0 |          3 |         19 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomControls.svelte                  | Svelte             |          7 |          0 |          2 |          9 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomEdge.svelte                      | Svelte             |         25 |          0 |          4 |         29 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomEdge2.svelte                     | Svelte             |         13 |          0 |          3 |         16 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomEdge3.svelte                     | Svelte             |         26 |          0 |          4 |         30 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/MyNode.svelte                          | Svelte             |         60 |          0 |          7 |         67 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/TestComponent.svelte                   | Svelte             |        128 |          0 |         11 |        139 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/svelte.config.js                                           | JavaScript         |          9 |          6 |          4 |         19 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/tests/test.ts                                              | TypeScript         |        148 |         13 |         65 |        226 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/tsconfig.json                                              | JSON with Comments |         14 |          4 |          1 |         19 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/vite.config.ts                                             | TypeScript         |         11 |          0 |          2 |         13 |
| Total                                                                                                                                  |                    |     11,491 |        109 |        920 |     12,520 |
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
